iso	country	year	eq_tr	r_eq_tr	housing_tr	r_housing_tr	dc
DNK	Denmark	1957	0.10950	0.07987	0.16111	0.13010	0.014502454
DNK	Denmark	1958	0.06575	0.05802	0.11835	0.11023	0.016714317
DNK	Denmark	1959	0.30213	0.28001	0.15693	0.13729	0.028120268
DNK	Denmark	1960	0.16120	0.14681	0.21933	0.20422	0.056385441
DNK	Denmark	1961	0.04480	0.00994	0.35124	0.30615	0.051981677
DNK	Denmark	1962	0.06030	-0.01256	0.17560	0.09483	0.019310867
DNK	Denmark	1963	-0.00293	-0.06030	0.13886	0.07333	0.0198737
DNK	Denmark	1964	0.24082	0.20359	0.19646	0.16056	0.045164815
DNK	Denmark	1965	0.07117	0.01580	0.11439	0.05680	0.015682175
DNK	Denmark	1966	0.09230	0.02023	0.19392	0.11514	0.021444502
DNK	Denmark	1967	-0.14916	-0.21370	0.10889	0.02478	0.024017467
DNK	Denmark	1968	0.08233	0.00259	0.08638	0.00634	0.016073479
DNK	Denmark	1969	0.19813	0.15775	0.10740	0.07008	0.052784504
DNK	Denmark	1970	-0.05179	-0.10979	0.21761	0.14314	0.022845753
DNK	Denmark	1971	-0.01185	-0.06664	0.12129	0.05912	-0.001499026
DNK	Denmark	1972	0.48656	0.39502	0.22627	0.15075	-0.006455487
DNK	Denmark	1973	0.62432	0.48607	0.20423	0.10173	0.051375038
DNK	Denmark	1974	-0.22610	-0.32865	0.09531	-0.04983	-0.033486634
DNK	Denmark	1975	0.16445	0.06240	0.22929	0.12156	0.027509294
DNK	Denmark	1976	0.35681	0.24478	0.13739	0.04348	0.064978292
DNK	Denmark	1977	0.07841	-0.02968	0.17652	0.05860	0.00828917
DNK	Denmark	1978	-0.00093	-0.09183	0.20147	0.09216	0.006738544
DNK	Denmark	1979	0.02037	-0.06910	0.13808	0.03829	-0.001472557
DNK	Denmark	1980	-0.01512	-0.12303	0.02287	-0.08920	-0.035929749
DNK	Denmark	1981	0.77524	0.58866	-0.00566	-0.11016	-0.026421916
DNK	Denmark	1982	0.34868	0.22472	0.02583	-0.06845	0.019997143
DNK	Denmark	1983	0.81643	0.69906	0.26950	0.18747	0.013443495
DNK	Denmark	1984	0.09640	0.03151	0.20299	0.13180	0.032057482
DNK	Denmark	1985	0.06629	0.01863	0.21542	0.16110	0.039630473
DNK	Denmark	1986	0.02780	-0.00867	0.15733	0.11628	0.065164198
DNK	Denmark	1987	-0.13870	-0.17177	-0.03567	-0.07270	-0.024301777
DNK	Denmark	1988	0.15420	0.10384	0.05575	0.00968	-0.02094176
DNK	Denmark	1989	0.41858	0.35396	0.03913	-0.00821	-0.002657891
DNK	Denmark	1990	0.11323	0.08458	-0.02597	-0.05104	0.002538071
DNK	Denmark	1991	0.09394	0.06835	0.06817	0.04318	0.009240506
DNK	Denmark	1992	-0.06935	-0.08846	0.04004	0.01869	0.018938919
DNK	Denmark	1993	0.03356	0.02072	0.04931	0.03627	-0.020679468
DNK	Denmark	1994	0.20573	0.18218	0.18370	0.16058	0.054172951
DNK	Denmark	1995	0.01202	-0.00863	0.13138	0.10828	0.007511625
DNK	Denmark	1996	0.31960	0.29215	0.15930	0.13518	0.011005917
DNK	Denmark	1997	0.43762	0.40689	0.16401	0.13913	0.022825705
DNK	Denmark	1998	-0.03903	-0.05621	0.13434	0.11406	0.016021973
DNK	Denmark	1999	0.23249	0.20266	0.10935	0.08251	-0.009123677
DNK	Denmark	2000	0.16970	0.13645	0.10535	0.07392	-0.00511538
DNK	Denmark	2001	-0.12866	-0.14886	0.09728	0.07184	-0.002399452
DNK	Denmark	2002	-0.20234	-0.22122	0.07380	0.04839	0.012484252
DNK	Denmark	2003	0.33083	0.30378	0.06890	0.04717	0.00780543
DNK	Denmark	2004	0.24031	0.22616	0.12655	0.11370	0.046357616
DNK	Denmark	2005	0.43154	0.40598	0.21071	0.18910	0.039369234
DNK	Denmark	2006	0.22443	0.20132	0.24603	0.22250	0.032098256
DNK	Denmark	2007	0.07134	0.05351	0.07115	0.05332	0.015
DNK	Denmark	2008	-0.47955	-0.49674	-0.02016	-0.05253	-0.01320197
DNK	Denmark	2009	0.35473	0.33728	-0.09303	-0.10471	-0.049221246
DNK	Denmark	2010	0.32678	0.29681	0.05900	0.03508	0.003369226
DNK	Denmark	2011	-0.16320	-0.18567	0.00364	-0.02331	-0.001362577
